,time,open,high,low,close,tick_volume,spread,real_volume
11777,1570723200,107.917,107.939,107.823,107.908,7605,1,0
11778,1570730400,107.908,107.973,107.753,107.928,11353,1,0
11779,1570737600,107.928,108.019,107.845,107.868,7489,1,0
11780,1570744800,107.868,107.975,107.85,107.869,7948,1,0
11781,1570752000,107.869,108.133,107.849,107.97,11602,1,0
11782,1570759200,107.97,107.997,107.936,107.977,3374,1,0
11783,1570766400,107.977,108.015,107.946,108.012,3865,1,0
11784,1570773600,108.011,108.028,107.902,107.915,7625,1,0
11785,1570780800,107.915,108.166,107.877,108.121,8529,1,0
11786,1570788000,108.121,108.487,108.118,108.456,12361,50,0
11787,1570795200,108.456,108.499,108.338,108.472,12873,1,0
11788,1570802400,108.472,108.629,108.441,108.521,17273,50,0
11789,1570809600,108.521,108.601,108.272,108.411,16216,1,0
11790,1570816800,108.411,108.575,108.334,108.369,11612,1,0
11791,1570824000,108.37,108.42,108.312,108.41,1452,1,0
11792,1570996800,108.346,108.4,108.32,108.364,488,2,0
11793,1571004000,108.368,108.522,108.347,108.477,7044,1,0
11794,1571011200,108.478,108.479,108.198,108.258,10383,1,0
11795,1571018400,108.257,108.327,108.231,108.308,3838,1,0
11796,1571025600,108.308,108.363,108.244,108.274,3042,1,0
11797,1571032800,108.274,108.303,108.179,108.204,6834,1,0
11798,1571040000,108.205,108.292,108.033,108.149,8300,1,0
11799,1571047200,108.15,108.241,108.117,108.234,4441,1,0
11800,1571054400,108.236,108.361,108.216,108.343,6117,1,0
11801,1571061600,108.343,108.458,108.325,108.403,5840,1,0
11802,1571068800,108.404,108.445,108.364,108.396,2886,1,0
11803,1571076000,108.396,108.404,108.337,108.403,2037,1,0
11804,1571083200,108.403,108.413,108.323,108.358,865,1,0
11805,1571090400,108.358,108.447,108.343,108.398,3428,1,0
11806,1571097600,108.397,108.453,108.322,108.367,7881,1,0
11807,1571104800,108.367,108.368,108.312,108.327,2930,1,0
11808,1571112000,108.327,108.363,108.323,108.332,2001,1,0
11809,1571119200,108.332,108.41,108.312,108.353,7549,1,0
11810,1571126400,108.353,108.409,108.216,108.294,6908,1,0
11811,1571133600,108.294,108.375,108.156,108.329,6487,1,0
11812,1571140800,108.329,108.468,108.301,108.464,7731,1,0
11813,1571148000,108.464,108.887,108.439,108.838,16489,1,0
11814,1571155200,108.838,108.9,108.79,108.856,4817,1,0
11815,1571162400,108.856,108.888,108.825,108.875,3764,1,0
11816,1571169600,108.875,108.883,108.79,108.836,2650,1,0
11817,1571176800,108.836,108.863,108.8,108.801,3198,1,0
11818,1571184000,108.801,108.851,108.602,108.707,14146,1,0
11819,1571191200,108.707,108.711,108.633,108.686,4028,1,0
11820,1571198400,108.685,108.7,108.625,108.661,4132,1,0
11821,1571205600,108.662,108.772,108.593,108.648,13037,1,0
11822,1571212800,108.649,108.722,108.611,108.695,8410,1,0
11823,1571220000,108.694,108.799,108.628,108.744,6121,1,0
